time,open,high,low,close,tick_volume,spread,real_volume,SMA_10,RSI_14,EMA_20,VWAP_14,OBV,ATR_14
1552953600,3966.6,4013.43,3946.5,3991.35,206036,0,0,,,,,0,0
1553040000,3986.85,4019.12,3959.16,4010.66,197685,0,0,,,,,0,0
1553126400,3993.34,4056.44,3909.69,3973.59,341797,0,0,,,,,0,0
1553212800,3973.82,3999.64,3959.29,3974.14,196008,0,0,,,,,0,0
1553472000,3954.34,3976.34,3845.19,3884.64,216570,0,0,,,,,0,0
1553558400,3879.09,3921.09,3877.64,3914.84,171261,0,0,,,,,0,0
1553644800,3905.84,4033.71,3905.84,4008.34,206524,0,0,,,,,0,0
1553731200,4006.59,4036.1,3991.25,4009.46,146353,0,0,,,,,0,0
1553817600,4009.18,4098.86,4001.1,4072.85,249905,0,0,,,,,0,0
1554076800,4091.12,4148.73,4049.86,4128.93,192383,0,0,3996.88,,,,0,0
1554163200,4128.35,5086.35,4125.4,4800.85,1426101,0,0,4077.83,,,,0,0
1554249600,4802.1,5315.96,4776.85,5289.76,1477227,0,0,4205.74,,,,0,0
1554336000,5325.93,5337.76,4735.52,4847.02,1748634,0,0,4293.083,,,,0,0
1554422400,4846.35,5065.87,4836.9,4998.81,1002986,0,0,4395.55,72.96851073,,,0,227.8007143
1554681600,5128.01,5349.27,5112.87,5247.46,1203877,0,0,4531.832,76.55315448,,,0,236.5620918
1554768000,5257.27,5309.44,5140.51,5218.27,840507,0,0,4662.175,75.29089454,,,0,231.7312281
1554854400,5208.77,5460.22,5158.23,5304.23,624443,0,0,4791.764,76.51876792,,,0,236.7497118
1554940800,5306.85,5344.77,4959.62,5053.77,898649,0,0,4896.195,66.19684719,,,0,247.3497324
1555027200,5032.48,5119.48,4897.43,5040.73,642007,0,0,4992.983,65.69993303,,,0,245.5426087
1555286400,5086.99,5189.73,4938.23,5025.23,608778,0,0,5082.613,65.07462424,4690.38499,,0,245.9681366
1555372800,5013.23,5230.23,5009.23,5182.72,449433,0,0,5120.8,68.36883073,4737.274038,,0,244.1846983
1555459200,5181.22,5269.98,5163.73,5216.03,480606,0,0,5113.427,69.03410346,4782.869844,,0,234.3322198
1555545600,5215.73,5310.73,5203.48,5305.73,430704,0,0,5159.298,70.81425801,4832.66605,,0,225.2549184
1555632000,5302.23,5354.73,5195.23,5266.48,419544,0,0,5186.065,68.94651018,4873.981664,,0,220.5581385
1555891200,5253.73,5441.98,5249.23,5368.23,517799,0,0,5198.142,71.07627292,4921.052934,,0,218.5718429
1555977600,5360.73,5635.68,5355.48,5580.98,635440,0,0,5234.413,74.94551673,4983.903131,,0,222.9738542
1556064000,5573.23,5620.48,5369.44,5435.44,795631,0,0,5247.534,68.22203828,5026.906642,,0,224.9785789
1556150400,5444.23,5512.23,5375.23,5496.99,400576,0,0,5291.856,69.46945976,5071.676486,,0,218.6943947
